string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13
MUCENPCB,236,111,202,168,125,221,175,130,,,,,
MSHP,231,136,269,223,,,,,,,,,
TB,639,441,,,,,,,,,,,
XAQMCENP,88,134,235,308,151,152,132,241,,,,,
XAQAQAQAQ,103,140,714,163,625,225,898,224,96,,,,
M,178,,,,,,,,,,,,
SRPCENPCB,146,134,302,179,154,135,240,192,227,,,,
MSHRPCENPCB,229,113,64,112,232,139,135,128,294,234,122,,
TB,619,256,,,,,,,,,,,
XAQMCENPCB,88,112,424,301,208,310,107,232,213,101,,,
SHPCB,117,270,214,217,199,,,,,,,,
TMCB,548,134,285,286,,,,,,,,,
MNUMCB,209,23,127,163,219,249,,,,,,,
XAQAQ,61,140,467,189,403,,,,,,,,
MSRPCB,321,85,111,293,185,973,,,,,,,
MSHNPC,241,105,204,133,267,175,,,,,,,
MUM,259,137,464,,,,,,,,,,
MSHJP,219,107,147,306,94,,,,,,,,
MSRPCB,238,107,108,239,186,138,,,,,,,
T,846,,,,,,,,,,,,
CB,228,468,,,,,,,,,,,
XAQMCB,48,108,155,345,211,409,,,,,,,
TMCENJP,440,154,211,174,111,162,194,,,,,,
MSHJP,324,122,203,128,174,,,,,,,,
TB,840,236,,,,,,,,,,,
MSRNP,229,108,128,130,242,,,,,,,,
XAQMCENJP,60,109,314,341,186,156,111,169,144,,,,
XAQMCB,76,111,431,318,204,371,,,,,,,
MSHJP,237,133,212,173,139,,,,,,,,
XAQMCB,77,108,309,408,205,294,,,,,,,
XAQA,86,122,515,160,,,,,,,,,
QAQ,569,173,255,,,,,,,,,,
XAQAQ,86,100,491,212,899,,,,,,,,
TMCB,1202,146,205,342,,,,,,,,,
XAQAQAQ,89,112,586,155,726,167,303,,,,,,
MSHP,251,133,245,221,,,,,,,,,
XAQAQA,73,101,632,189,951,71,,,,,,,
SRPCE,133,106,306,224,367,,,,,,,,
XAQAQ,107,259,760,186,389,,,,,,,,
MSHNP,305,127,104,80,192,,,,,,,,
MUCENP,219,137,115,130,105,244,,,,,,,
TUCENP,546,108,231,139,114,233,,,,,,,
XAQ,76,97,844,,,,,,,,,,
MUMCENJP,207,125,518,246,134,106,241,161,,,,,
TUC,540,114,235,,,,,,,,,,
XAQAQAQ,91,261,869,157,661,204,537,,,,,,
MSHNP,200,127,203,105,259,,,,,,,,
XAQMCENJP,94,130,264,317,119,131,103,216,208,,,,
XAQAM,104,168,838,147,357,,,,,,,,
XAQAQAQ,86,114,606,181,707,155,749,,,,,,
TB,855,446,,,,,,,,,,,
MSRPCENP,212,116,110,297,110,118,132,228,,,,,
MSHRP,288,126,68,114,218,,,,,,,,
XAQMCENP,79,99,205,315,167,152,130,162,,,,,
Q,903,,,,,,,,,,,,
MUMCBPCENP,309,179,181,388,386,151,262,139,89,284,,,
MSHPCB,230,108,192,342,221,425,,,,,,,
XAQAQMCENP,57,165,362,199,388,377,169,117,132,199,,,
TMCENP,848,321,225,137,107,228,,,,,,,
TUCB,544,128,234,488,,,,,,,,,
XAQA,87,138,425,201,,,,,,,,,
MSHPCB,450,122,199,424,199,761,,,,,,,
TMCB,555,148,209,245,,,,,,,,,
MSHNP,240,83,204,109,286,,,,,,,,
MSRPCENJP,226,111,155,294,184,114,109,266,191,,,,
TMCENPCENP,555,166,228,150,111,257,190,160,114,271,,,
MSHNP,225,106,153,112,250,,,,,,,,
MUTMQ,346,135,180,137,249,,,,,,,,
TMCB,488,147,239,383,,,,,,,,,
MSRP,316,117,128,277,,,,,,,,,
MSHJP,274,106,170,210,217,,,,,,,,
MSRPCB,257,133,109,268,238,128,,,,,,,
MUTCB,220,143,345,252,466,,,,,,,,
XAQAQ,86,109,599,169,22,,,,,,,,
MSHJP,252,134,160,173,236,,,,,,,,
