string,duration_1,duration_2,duration_3,duration_4,duration_5,duration_6,duration_7,duration_8,duration_9,duration_10,duration_11,duration_12,duration_13
MUMCB,216,148,159,218,248,,,,,,,,
XAQ,103,145,537,,,,,,,,,,
XAQAQ,59,145,461,179,411,,,,,,,,
MSRPCB,318,80,115,295,181,976,,,,,,,
MSHNPC,239,108,201,138,263,177,,,,,,,
MUM,261,136,461,,,,,,,,,,
MSHJP,215,106,154,302,92,,,,,,,,
MSRPCB,229,109,110,241,182,137,,,,,,,
T,847,,,,,,,,,,,,
CB,227,467,,,,,,,,,,,
XAQMCB,51,105,172,329,210,410,,,,,,,
MUMCEHJP,296,144,154,208,175,111,165,190,,,,,
MSHJP,320,124,203,126,171,,,,,,,,
TB,842,233,,,,,,,,,,,
MSHJP,209,109,206,159,147,,,,,,,,
MSRNP,222,108,129,129,241,,,,,,,,
XAQMCENJP,65,104,319,336,187,155,112,168,142,,,,
XAQMCB,74,116,423,321,208,363,,,,,,,
MSHJP,235,131,217,171,138,,,,,,,,
MCB,368,202,294,,,,,,,,,,
XAQA,90,118,518,155,,,,,,,,,
QAQ,578,164,254,,,,,,,,,,
XAQAQ,85,101,492,217,890,,,,,,,,
TMCB,1203,148,200,343,,,,,,,,,
XAQAQAQ,88,114,583,162,718,177,293,,,,,,
MSHP,249,132,243,224,,,,,,,,,
XAQAQA,77,110,624,195,942,69,,,,,,,
SRPCE,137,108,306,224,363,,,,,,,,
XAQAQ,99,262,758,192,380,,,,,,,,
MSHNP,306,126,108,78,191,,,,,,,,
MUCENP,224,132,118,129,101,250,,,,,,,
TUCENP,545,110,235,133,115,232,,,,,,,
XAQ,73,102,837,,,,,,,,,,
MUMCENJP,208,125,514,245,134,107,242,160,,,,,
TUC,544,107,255,,,,,,,,,,
XAQAQAQ,91,263,865,159,658,210,529,,,,,,
MSHNP,203,123,204,108,255,,,,,,,,
XAQMCENJP,95,132,267,313,115,135,101,218,205,,,,
XAQAM,104,167,842,142,358,,,,,,,,
XAQAQAQ,84,107,614,163,723,155,745,,,,,,
TB,852,442,,,,,,,,,,,
MSRPCENP,212,116,112,295,110,120,128,229,,,,,
ENJP,125,129,457,155,,,,,,,,,
XAQMCENP,80,100,204,313,167,154,128,161,,,,,
MUMCBPCENP,304,183,179,386,389,150,262,137,90,279,,,
MSHPCB,227,107,191,343,222,422,,,,,,,
XAQAQMCENP,68,161,364,200,378,383,169,119,128,200,,,
TMCENP,841,324,227,138,103,228,,,,,,,
TUCB,543,134,231,486,,,,,,,,,
XAQA,88,138,422,202,,,,,,,,,
MSHPCB,451,120,204,417,201,759,,,,,,,
MUTMCB,233,123,197,148,203,252,,,,,,,
MSHNP,242,80,204,109,285,,,,,,,,
MSRPCENJP,225,114,156,292,182,116,109,260,195,,,,
TMCENPCENP,560,160,231,152,109,258,193,156,114,270,,,
MSHNP,227,106,156,110,246,,,,,,,,
MUTQ,349,119,322,248,,,,,,,,,
MUTCB,205,120,304,242,384,,,,,,,,
MSRP,315,117,129,277,,,,,,,,,
MSHJP,275,100,172,209,218,,,,,,,,
MSRPCB,254,133,110,264,240,127,,,,,,,
MUTCB,222,148,341,254,460,,,,,,,,
XAQA,91,106,598,186,,,,,,,,,
MSHJP,247,137,160,175,233,,,,,,,,
TB,628,261,,,,,,,,,,,
XAQMCENJP,64,133,312,362,217,192,130,264,120,,,,
MSRP,280,111,111,248,,,,,,,,,
XAQAQ,113,117,428,173,862,,,,,,,,
